Full Name,IATA Prefix Code,Remarks / Notes,ICAO Code,ICAO Callsign,Country,IATA Code,IATA Accounting Code
Air Asia Sen Bhd. t/a Air Asia,807,ICAO Callsign changed from Asian Express.Desginator AK reinstated by IATA,AXM,Red Cap,Malaysia,AK,807
Air Leisure Egypt,,,ALD,Air Leisure,Egypt,AL,751
Aeromexico Aerovias de Mexico S.A. de C.V.,139,,AMX,Aeromexico,Mexico,AM,139
"Advanced Air, LLC",,,WSN,Wingspan,United States of America,AN,360
"Air Juan Aviation, Inc.",,,,,Philippines,AO,
"Alba Star, S.A. d/b/a Alba Star.es",374,IATA designator changed from JQ*.,LAV,Albastar,Spain,AP,374
"Nine Air Co., Ltd.",902,,JYH,Trans Jade,China,AQ,902
Aerolineas Argentinas,044,,ARG,Argentina,Argentina,AR,044
"Alaska Airlines, Inc.",027,,ASA,Alaska,United States of America,AS,027
Royal Air Maroc,147,,RAM,Royalair Maroc,Morocco,AT,147
Cielos del Sur S.A. d/b/a Austral Lineas Aereas S.A.,143,Name changed from Austral Lineas Aereas.,AUT,Austral,Argentina,AU,143
"Avianca - Aerovias Nacionales de Colombia, S.A.",134,,AVA,Avianca,Colombia,AV,134
"Empresa Venezolana, Linea Aerea Bolivariana",,,VNE,Venezolana,Venezuela,AW,364
Africa World Airlines Limited,,,AFW,Blackstar,Ghana,AW,394
"Trans State Airlines, LLC",414,"Name changed Trans State Airlines, Inc. d/b/a American Connection. Name changed from Trans State Airlines, Inc. d/b/a Trans World ExpressIATA designator changed from 9N w.e.f 01/07/2002",LOF,Waterski,United States of America,AX,414
Finnair Oyj,105,,FIN,Finnair,Finland,AY,105
Alitalia Societa Aerea Italiana S.p.A.,055,Name changed from Alitalia-Compagnia Aerea Italiana S.p.A.wef 13/01/2009 assets transferred from old airline Alitalia - Linee Aeree Italiane,AZA,Alitalia,Italy,AZ,055
DreamJet SAS d/b/a La Compagnie,,Commenced operations 10 July 2014. First Flight 15 July 2014.New all Business Class startup.,DJT,Dreamjet,France,B0,002
"Bravo Passenger Solution Pte., Ltd.",,Computer Reservation Systems (CRS),,,Singapore,B1,
Belavia,268,ICAO callsign changed from Belarus Avia,BRU,Belavia,Belarus,B2,268
Tashi Air Private Ltd. t/a Bhutan Airlines,786,,BTN,Bhutan Air,Bhutan,B3,786
ZanAir Limited,,,TAN,Zanair,"Tanzania, United Republic of",B4,698
"Bankair, Inc.",,,BKA,Bankair,United States of America,B4,
East African Safari Air Express Ltd.,305,Designator B5 reinstated by IATA,EXZ,Twiga,Kenya,B5,305
Jetblue Airways Corporation,,,JBU,Jetblue,United States of America,B6,279
UNI Airways Corporation,525,,UIA,Glory,Taiwan,B7,525
Eritrean Airlines,637,,ERT,Eritrean,Eritrea,B8,637
Iran Air Tours Co.,491,Desigantor B9 reinstated by IATA,IRB,,Iran,B9,491
British Airways P.L.C.,125,Formed by the merger of B.E.A and B.O.A.C.,BAW,Speedbird,United Kingdom,BA,125
Seaborne Airlines,,"Name changed from Seaborne Aviation, Inc.Establish in 1992",SBS,Seaborne,United States of America,BB,
Skymark Airlines Co. Ltd.,,Designator BC reinstated by IATA,SKY,Skymark,Japan,BC,
Cambodia Bayon Airlines Limited,688,Planned startup in December 2014. Domestic services.,BYC,Bayon Air,Cambodia,BD,688
Flybe Limited,267,Name change from Jersey European Airways Limited d/b/a British European w.e.f. 18/07/2002IATA desigantor changed from JY wef 28/10/2001. ICAO desigantor changed from JEA,BEE,Jersey,United Kingdom,BE,267
French bee,,Name changed from French Blue.,FBU,French Bee,France,BF,396
Biman Bangladesh Airlines,997,,BBC,Bangladesh,Bangladesh,BG,997
Bismillah Airlines Ltd.,256,Designator 5Z recalled by IATA,BML,Bismillah,Bangladesh,BH,
Royal Brunei Airlines SDN BHD,672,,RBA,Brunei,Brunei,BI,672
Nouvelair Tunisie,,Designator reinstated by IATAName changed from Air Liberte Tunisie w.e.f. 01 September 1996.,LBT,Nouvelair,Tunisia,BJ,796
Okay Airways Company Limited,866,Designator BK* reinstated by IATA,OKA,Okayjet,China,BK,866
Jetstar Pacific Airlines Co. Ltd.,550,Name changed from Pacific Airlines Co. Ltd. w.e.f. 23/05/2008,PIC,Pacific Express,Vietnam,BL,550
"Air Inter Transport Co., Ltd. t/a Budget Lines",,,BGN,Skybuddy,Thailand,BN,
Horizon Airlines Pty Ltd.,,IATA designator changed from YK* / Designator HK* recalled by IATA,HZA,Horiz Air,Australia,BN,
Bláfugl ehf. d/b/a bluebird NORDIC,290,Established in 1999. Name changed from Bláfugl ehf d/b/a Bluebird Cargo Ltd.IATA designator changed from BF.,BBD,Blue Cargo,Iceland,BO,
Air Botswana Corporation,,Name changed from Air Botswana (PTY) Ltd.,BOT,Botswana,Botswana,BP,
EVA Airways Corporation,695,,EVA,Eva,Taiwan,BR,695
US-Bangla Airlines Limited,,Founded in 2013. Commenced operations on 17 July 2014.,UBG,Banglastar,Bangladesh,BS,
Air Baltic Corporation S/A,657,,BTI,Airbaltic,Latvia,BT,657
Compagnie Africaine d'Aviation CAA,,IATA Designator changed from E9,FPY,Africompany,"Congo, The Democratic Republic of",BU,883
Blue Panorama Airlines S.p.A.,004,"ICAO Callsign changed from Blue JetIATA changed from 1I, then 9S",BPA,Blue Panorama,Italy,BV,004
Caribbean Airlines Limited,106,,BWA,Caribbean Airlines,Trinidad and Tobago,BW,106
Air Busan,982,Low cost subsidiary of Asiana Airlines,ABL,Air Busan,"Korea, Republic of",BX,982
TUI Airways Limited,754,Name changed from Thomson Airways Limited w.e.f. 02 October 2017. ICAO Callsign changed from Tomson.ICAO callsing changed from TUI Air.,TOM,Tomjet,United Kingdom,BY,754
Blue Dart Aviation Ltd,620,,BDA,Blue Dart,India,BZ,
One Caribbean Ltd.,,,VCY,Vincy,St. Vincent and the Grenadines,C0,734
Techtimes Sudamericana S.A.,,Computer Reservations Systems (CRS),,,Argentina,C1,322
Ceiba Intercontinental,304,,CEL,Ceiba Line,Equatorial Guinea,C2,304
"Mountain Air Cargo, Inc.",,,MTN,Mountain,United States of America,C2,
Trade Air d.o.o.,,IATA designator changed from 8P,TDR,Tradeair,Croatia,C3,
"Champlain Enterprises, Inc.",841,Name changed from Commutair (US Airways Express),UCA,Commutair,United States of America,C5,841
JMI Aerospace Ltd.,,Non-airline Unit Load Devices (ULD) companies,,,New Zealand,C6,
Saffron Aviation (Pvt) Ltd. d/b/a Cinnamon Air,,,CIN,Cinnamon,Sri Lanka,C7,
Rico Linhas Aereas - RLA,,,RLE,Rico,Brazil,C7,
Cargolux Italia S.p.A.,356,ICAO Callsign changed from Cargo Med.,ICV,Cargolux Italia,Italy,C8,
Cronos Airlines,,Accounting code 498 recalled by IATA.,CRA,Cronos,Equatorial Guinea,C8,
"Alphaland Aviation, Inc",,,BIC,Balesin,Philippines,C9,
Air China Limited,999,Name changed from Air China International CorporationName changed from CAAC - Civil Aviation Administration of China,CCA,Air China,China,CA,999
"Air China Cargo Co., Ltd.",999,,CAO,Airchina Freight,China,CA,
Trans Caribbean Air Export Import Inc.,456,,,,United States of America,CB,
Air Atlanta Icelandic,318,,ABD,Atlanta,Iceland,CC,
Corendon Dutch Airlines,503,,CND,Dutch Corendon,Netherlands,CD,
Alliance Air,296,Name changed to Air India Regional.,LLR,Allied,India,CD,296
Chalair Aviation,,Name changed from ChalairDesignator M6* recalled by IATA,CLG,Challair,France,CE,980
China Postal Airlines Ltd.,,IATA designator chanegd from 8Y*ICAO callsign changed from China Postair.,CYZ,China Posta,China,CF,804
PNG Air Limited.,626,Name changed from Airlines of Papua New Guinea Limited.Name changed from MBA Pty. Ltd.,TOK,Balus,Papua New Guinea,CG,626
Bemidji Airlines,872,,BMJ,Bemidji,United States of America,CH,872
China Airlines,297,,CAL,Dynasty,Taiwan,CI,297
Cityflyer Express Limited t/a BA Cityflyer,,Designator CJ* reinstated by IATA,CFE,Flyer,United Kingdom,CJ,
China Cargo Airlines Ltd.,112,"IATA designator changed from 2J* / ICAO designator changed from CHY, Callsign changed from Cargo China",CKK,China King,China,CK,
Lufthansa CityLine,683,Name changed from Lufthansa Cityline GmbH,CLH,Hansaline,Germany,CL,683
"Copa Airlines, Inc",230,"Name changed from Compania Panamena de Aviacion, S.A. (COPA) and previously from COPA - AirlinesName changed from COPA - Compania Panamena de Aviacion, S.A.",CMP,COPA,Panama,CM,230
"Grand China Air Co., Ltd.",895,,GDC,Grand China,China,CN,895
Compass Airlines LLC,003,"ICAO Callsign changed from Compass Rose.Wholly-owned subsidiary of Trans States Holdings, Inc.",CPZ,Compass,United States of America,CP,003
Miscellaneous Auxiliary Calegory,,Non-airline Org. in airline industry,XCR,,United States of America,CR,
Comlux Aruba N.V.,,,CXB,,Aruba,CS,
Alitalia Cityliner S.p.A.,,Name changed from Air One Cityliner S.p.A. w.e.f. 20 April 2011.,CYL,Cityliner,Italy,CT,
"Cubana de Aviacion, S.A.",136,Name changed from Empresa Consolidada Cubana de Aviacion,CUB,Cubana,Cuba,CU,136
"Cargolux Airlines International, S.A.",172,,CLX,Cargolux,Luxembourg,CV,
Air Cargo Global s.r.o.,159,IATA Designator chnaged from UB.,CCC,Global Cargo,Slovakia,CW,
Cathay Pacific Airways Ltd.,160,ICAO designator changed from CPX,CPA,Cathay,Hong Kong,CX,160
Charlie Airways t/a Cyprus Airways,078,Parent company S7 Airlines (Russia). Commenced opeations on 01 June 2017.AOC granted 14 March 2017.,CYP,,Cyprus,CY,078
China Southern Airlines,784,Formerly CAAC Guangzhow region,CSN,China Southern,China,CZ,784
DHL Air Limited,936,,DHK,World Express,United Kingdom,D0,
Severstal Aircompany Ltd.,,Name changed from Severstal Joint Stock Company,SSF,Severstal,Russian Federation,D2,103
Daallo Airlines,991,,DAO,Dalo Airlines,Djibouti,D3,991
Alidaunia S.R.L.,,IATA designator changed from D1,LID,Alida,Italy,D4,
"DHL Aero Expreso, S.A.",992,Designator D5* recalled by IATAIATA designator changed from DS,DAE,,Panama,D5,
Airasia X Berhad d/b/a Airasia X,843,Name changed from Fly Asian Express Sdn Bhd,XAX,Xanadu,Malaysia,D7,
Norwegian Air International Ltd.,,,IBK,Nortrans,Ireland,D8,
Dena Airways,313,,DAI,Dena,Iran,D9,313
Maleth-Aero AOC Ltd,,Name changed from Hangar 8 AOC Malta Limited t/a Maleth-Aero,MLT,Maleth,Malta,DB,
"Nok Airlines Public Co., Ltd. d/b/a Nok Air",,Name changed from Nok Airlines Company Limited w.e.f. 18 January 2013,NOK,Nok Air,Thailand,DD,
Condor Flugdienst GmbH,881,IATA designator changed from DF,CFG,Condor,Germany,DE,881
Cebgo Inc. d/b/a Cebgo,,Name changed from Tigerair Philippines,SRQ,Blue Jay,Philippines,DG,931
Norwegian Air Norway AS,,,NAN,Norship,Norway,DH,
Norwegian Air UK Ltd.,,ICAO Callsign changed from Norworld.,NRS,Rednose,United Kingdom,DI,
"AirAsia Japan Co., Ltd.",,,WAJ,Wing Asia,Japan,DJ,
Star Air A/S,,IATA designator changed from S6*.,SRR,Whitestar,Denmark,DJ,
Thomas Cook Airlines Scandinavia A/S,630,Name changed from MyTravel Airways A/SName changed from Premiair A/S 01/05/2002,VKG,Viking,Denmark,DK,630
"Delta Air Lines, Inc.",006,,DAL,Delta,United States of America,DL,006
Anda Air LLC,,Commenced operation on 22 October 2016.,SSV,,Ukraine,DM,
Norwegian Air Argentina S.A.U.,,Planned to start operations w.e.f. 16 October 2018.,NAA,Noruega,Argentina,DN,
Sky High Aviation Services,,Founded in 2012.,SHH,Sky High,Dominican Republic,DO,
Dornier Aviation Nigeria Aiep Ltd.,,Designator DO* recinstated by IATADesignator DO* recalled by IATA,DAV,Dana,Nigeria,DO,
Pobeda Airlines LLC,,Founded on 16 September 2014. Commenced operations on 01/12/2014.Low cost subsidary of Aeroflot,PBD,Pobeda,Russian Federation,DP,425
Alexandria Airlines,,,KHH,,Egypt,DQ,
Ruili Airlines,,,RLH,Sendi,China,DR,299
Easyjet Switzerland S.A.,,IATA Designator BH* recalledName changed from TEA Basel AG,EZS,Topswiss,Switzerland,DS,
DAS Nordisk Ltd.,,Non-Airline Unit Load Devices (ULD) company,,,Hong Kong,DS,
TAAG - Linhas Aereas de Angola Airlines,118,Name changed from TAAG - Linhas Aereas de Angola S.A.R.L. (TMA),DTA,DTA,Angola,DT,118
Sky Jet M.G. Inc.,,Commenced Operations 01 August 2007.IATA Designator changed from Q9,,,Canada,DU,
PLL Scat Aircompany,,,VSV,Vlasta,Kazakhstan,DV,655
Danish Air Transport,,Designator DX* reinstated by IATA,DTR,Danish,Denmark,DX,243
Norwegian Air Shuttle A.S. t/a Norwegian,328,IATA designator changed from DY*. IATA designator previously changed from N8.,NAX,Nor Shuttle,Norway,DY,328
"Donghai Airlines Co., Ltd.",893,,,,China,DZ,893
Eurowings Europe GmbH,,Subsidary of Eurowings Germany.,EWE,,Austria,E2,
NewGen Airways Compnay Limited t/a NewGen Airways,,"Name changed from Sabaidee Airways Co., Ltd. t/a New Gen Airways.",VGO,Virgo,Thailand,E3,
Enter Air Sp. z.o.o.,,,ENT,Enter,Poland,E4,
Air Arabia Egypt,844,,RBG,Arabia Egypt,Egypt,E5,844
Bringer Air Cargo Taxi Aereo Ltda.,417,ICAO changed from BRC.,BCT,,Brazil,E6,
Equaflight Service,,,EKA,Equaflight,Congo,E7,965
"Estafeta Carga Aerea, S.A. de C.V.",355,,ESF,,Mexico,E7,
Evelop Airlines SL,783,,EVE,Evelop,Spain,E9,783
"Wamos Air, S.A.",460,Name changed from Air Pullmantur.Designator EB recalled by IATA.,PLM,Pullman,Spain,EB,460
easyJet Europe Airline GmbH,,,EJU,Alpine,Austria,EC,
"AirExplore, s.r.o.",913,,AXE,Galileo,Slovakia,ED,913
Regional Jet Ou,,Subsidary of Nordic Aviation Group.,EST,Reval,Estonia,EE,
Aerolinea del Caribe - Peru S.A.C.,497,,,,Peru,EF,
Ernest S.r.l.,,AOC granted Novmeber 2016.,ERN,Ernest,Italy,EG,
1263343 Alberta Ltd t/a Enerjet,,Formerly known as NewAir  Tours,ENJ,Enerjet Air,Canada,EG,
"ANA Wings Co., Ltd.",,Name changed from Air Nippon Network Co. Ltd.,AKX,Alfa Wing,Japan,EH,
Aer Lingus Limited,053,,EIN,Shamrock,Ireland,EI,053
New England Airlines,,,NEA,New England,United States of America,EJ,
European Cargo Services BV,,Non-airline Unit Load Device (ULD) Company,,,Netherlands,EJ,
Emirates,176,,UAE,Emirates,United Arab Emirates,EK,176
Ellinair S.A.,,,ELB,,Greece,EL,
Empire Airlines,464,,CFS,Empire Air,United States of America,EM,
Air Dolomiti S.p.A. Linee Aeree Regionali Europee,101,Name changed from Air Dolomiti S.p.A.,DLA,Dolomiti,Italy,EN,101
"Ikar, LLC t/a Pegas Fly",770,"Founded on 15 June 1993. IATA designator changed from IK*.Name changed from Ikar, LLC.",KAR,Krasjet,Russian Federation,EO,770
Iran Aseman Airline,815,Name changed from Iran Asseman Airlines,IRC,Aseman,Iran,EP,815
TAME Linea Aerea del Ecuador,269,,TAE,Tame,Ecuador,EQ,269
Serene Air (Private) Limited,,Founded in May 2016. AOC granted 18 March 2016.,SEP,,Pakistan,ER,
Estelar Latinoamerica C.A. d/b/a Estelar,,Designator E4 recalled by IATA.,ETR,Estel,Venezuela,ES,053
DHL Aviation EEMEA B.S.C(c),155,Name changed from DHL Aviation E.C.,DHX,Dilmun,Bahrain,ES,
Ethiopian Airlines Enterprise,071,Name changed from Ethiopian Airlines Share Co.,ETH,Ethiopian,Ethiopia,ET,071
Chengdu Airlines,811,Name changed from United Eagle Airlines Co Ltd. ICAO callsign changed from Hibiscus City.,UEA,United Eagle,China,EU,811
"ExpressJet Airlines, Inc",862,"Name changed to Atlantic Southeast Airlines, Inc. on 31 December 2011. ICAO designator changed from ACY. ICAO designator changed from CAA. ICAO callsign change from Candler.Founded in 1979. ICAO designator changed from ASE",ASQ,Acey,United States of America,EV,862
Eurowings GmbH,104,Name changed from Eurowings AG w.e.f. 01 February 2015.,EWG,Eurowings,Germany,EW,104
Etihad Airways,,,ETD,Etihad,United Arab Emirates,EY,607
"Evergreen International Airlines, Inc.",494,Filed for voluntary Chapter 7 bankruptcy protection on 31 December 2013.,EIA,Evergreen,United States of America,EZ,
Sun Air of Scandinavia A/S,,,SUS,Sunscan,Denmark,EZ,
Solitaire Air Ltd. Co. (d/b/a Fly Jordan),,ICAO Designaotr changed from STR,FJR,Solitaire Air,Jordan,F0,
Farelogix Inc,,Computer Reservation System,,,Canada,F1,941
Safarilink Aviation Limited,,,XLK,Safarilink,Kenya,F2,
flyadeal Airline Company,,,FAD,Purple,Saudi Arabia,F3,
Shanghai Airlines Cargo International,825,,SHQ,Shanghai Cargo,China,F4,
Aerotranscargo SRL,,ICAO callsign changed to Worldcargo,ATG,Moldcargo,"Moldova, Republic of",F5,
FlyCompass Service S.r.l.,,Main share holder Valan International Cargo Charter. (Moldova),FXP,Sundial,Romania,F6,
The Airline iFly,,IATA designator changed from I4*.Designator H5 recalled by IATA,RSY,Russian Sky,Russian Federation,F7,
Flair Airlines Ltd,,,FLE,Flair,Canada,F8,
"Frontier Airlines, Inc.",422,,FFT,Frontier Flight,United States of America,F9,422
Safair Operations (Proprietary) Ltd. dba Safair,640,Name changed from Safair Operations (Proprietary) Limited t/a FlySafair.Name changed from Safair (Proprietary) Ltd.,SFR,Cargo,South Africa,FA,640
Bulgaria Air,623,ICAO callsign changed from Balkan TourName changed from Balkan Air Tours Ltd.,LZB,Flying Bulgaria,Bulgaria,FB,623
Vee H Aviation Pty Ltd.,,,,,Australia,FC,
Thai AirAsia Co. Ltd.,,Subsidary of Air Asia Malaysia AK/AXM,AIQ,Thai Asia,Thailand,FD,900
Far Eastern Air Transport Corp.,436,,FEA,Far Eastern,Taiwan,FE,436
Airshop B.V.,,Designator FF* reinstated by IATANon-Airline Unit Load Devices (ULD) Companies,,,Netherlands,FF,
Ariana Afghan Airlines,255,ICAO designator changed from FGA,AFG,Ariana,Afghanistan,FG,255
Hurkus Havayolu Tasimacilik Ve Ticaret S.A. - Freebird Airlines,,IATA designator changed from 3F*ICAO callsign changed from Free Turk,FHY,Freebird,Turkey,FH,
Icelandair,108,,ICE,Iceair,Iceland,FI,108
Air Pacific Ltd. t/a Fiji Airways,260,Name chnaged from Air Pacific Ltd. w.e.f. 27 June 2013.ICAO callsign changed from Pacific,FJI,Fiji,Fiji,FJ,260
Kelowna Flightcraft Air Charter Ltd.,758,IATA designator changed from KW*.Designator KW* reinstated by IATA,KFA,Flightcraft,Canada,FK,
Keewatin Air Ltd.,,IATA designator changed from 6KFounded in 1998.,KEW,Blizzard,Canada,FK,
Shanghai Airlines Co. Ltd.,774,Name changed from Shanghai AirlinesIATA designator changed from SF,CSH,Shanghai Air,China,FM,774
fastjet Airlines Limited.,,Name changed from Fly 540 Tanzania Ltd.Founded in 2011. Commenced operations on 29 November 2012.,FTZ,Grey Bird,"Tanzania, United Republic of",FN,
F.B. Lineas Aereas S.A. t/a Flybondi,,Commenced operations on 26 January 2018.,FBZ,Bondi,Argentina,FO,
Pelican Airlines Pty Ltd t/a FlyPelican,,,FRE,Pelican,Australia,FP,
CA Fly Pro SRL,,AOC granted 30 November 2016,PVV,Sunday,"Moldova, Republic of",FP,
SOL S.A. Lineas Aereas d/b/a Flyest Lineas Aereas,,,,,Argentina,FQ,300
Avia Airlink International Corporation d/b/a Fenix Airways,752,,,,United States of America,FQ,
Ryanair Ltd.,224,,RYR,Ryanair,Ireland,FR,224
flyGlobal Charter Sdn Bhd,,,FGG,Bluefinch,Malaysia,FS,
flyegypt,,,FEG,,Egypt,FT,
"Fuzhou Airlines Co., Ltd.",,,FZA,Strait Air,China,FU,
Rossiya Airlines JSC,195,ICAO Callsign changed from RussiaFormed by the merger of Pulkovo Aviation Enterprise and State Transport Company of Russia.,SDM,Rossiya,Russian Federation,FV,195
"Ibex Airlines Co., Ltd",,,IBX,Ibex,Japan,FW,
Solenta Aviation Mozambique,,,MFJ,Seguro,Mozambique,FW,
Federal Express Corporation d/b/a FedEx,023,ICAO callsign changed from FedexIATA designator changed from MB,FDX,Express,United States of America,FX,
FlyFirefly Sdn. Bhd,,,FFM,Firefly,Malaysia,FY,918
Flydubai,,,FDB,Sky Dubai,United Arab Emirates,FZ,
Gorkha Airlines,,IATA code taken from website not confirmed by IATA,IKA,,Nepal,G1,420
Galeyr Airline,233,,,,Somalia,G2,233
GOL Linhas Aereas Inteligentes,127,Merged into VRG Linhas Aereas S.A. w.e.f. 19/02/2009IATA designator changed from G9,GLO,Gol Transporte,Brazil,G3,127
Allegiant Air LLC,,"Name changed from Allegiant Air, Inc.",AAY,Allegiant,United States of America,G4,268
"China Express Airlines Co., Ltd",987,,HXA,China Express,China,G5,987
Aura Airlines S.L. t/a Gowair Vaction Airlines,,www.gowair.com,GWR,Lemon,Spain,G6,
GoJet Airlines LLC,573,ICAO callsign changed from Gateway,GJS,Lindbergh,United States of America,G7,573
Go Airlines (India) Pvt. Ltd.,,,GOW,goair,India,G8,
Air Arabia,,,ABY,Arabia,United Arab Emirates,G9,514
Garuda Indonesia,126,Name changed from Garuda Indonesia Airways P.T. ICAO callsign changed from Garuda,GIA,Indonesia,Indonesia,GA,126
"ABX Air, Inc.",832,"Name changed from Airborne Express, Inc.",ABX,Abex,United States of America,GB,
Global Aviation Operations (Pty) Ltd,,Designator QG recalled by IATA,GBB,Globe,South Africa,GE,
Gulf Air Company G.S.C.,072,,GFA,Gulf Air,Bahrain,GF,072
"Sky Lease 1, Inc.",576,"Name changed from Tradewinds Airlines, Inc.ICAO designator changed from TDX",KYE,,United States of America,GG,
Globus LLC,674,IATA designator changed from GB,GLP,Globus,Russian Federation,GH,674
"Guangdong Longhao Airlines Co., Ltd.",,,LHA,Air Canton,China,GI,
"Zhejiang Loong Airlines Co., Ltd.",891,ICAO Callsign changed from Hualong.,CDC,Loong Air,China,GJ,891
Jetstar Japan,,,JJP,Orange Liner,Japan,GK,
Air Greenland A/S,631,Name changed from Greenlandair / ICAO callsign changed from Greenlandair,GRL,Greenland,Greenland,GL,631
AirGlow Aviation Services FZC,914,,,,United Arab Emirates,GL,
"Tri-MG Intra Asia Airlines, PT.",,,TMG,Trilines,Indonesia,GM,
Germania Flug AG t/a Holiday Jet,,Founded in August 2014.,GSW,Eiger,Switzerland,GM,581
ULS Havayollair Kargo Tasimacilik A.S.,444,Name changed from Kuzu Airlines Cargo Transport  on 03/07/2009.Name changed from Baron  Hava Yolu  Kargo Tasimaciligi  AS,KZU,,Turkey,GO,
APG Airlines,,,RIV,Riviera,France,GP,275
Sky Express S.A.,,IATA Designator changed from G3,SEH,Air Crete,Greece,GQ,
Aurigny Air Services Ltd.,924,,AUR,Ayline,United Kingdom,GR,924
Tianjin Airlines Co. Ltd,826,Name changed from Grand China Express Co. Ltd. ICAO Callsign changed from China Dragon.,GCR,Bo Hai,China,GS,826
"Air Guilin Co., Ltd.",730,Commenced operations on 25 June 2016.,CGH,Welkin,China,GT,730
"AVIATECA, S.A. - Avianca Guatemala",240,"Subsidiary of Grupo TACAName changed from AVIATECA, S.A.",GUG,,Guatemala,GU,240
"Grant Aviation, Inc.",,Designator GS* reinstated/changed by IATA,GUN,,United States of America,GV,
GetJet Airlines,,"Name changed from ORO Taksi, UAB.",GJT,Getjet,Lithuania,GW,
"Guangxi Beibu Gulf Airlines Co., Ltd.",872,Subsidary of Tianjin AirlinesICAO callsign changed from Spray.,CBG,Green City,China,GX,872
"Colorful GuiZhou Airlines Co., Ltd",661,Founded on 19 June 2015. Commenced operations on 31 December 2015.,CGZ,Colorful,China,GY,661
Air Rarotonga,,,,,Cook Islands,GZ,755
Hahn Air Systems,,Computer Reservations Systems (CRS),,,Germany,H1,
Sky Airline S.A.,605,Name changed from Sky Service S.A. d/b/a Sky Airlines,SKU,Aerosky,Chile,H2,605
Thomas Cook Aviation GmbH,,Name changed from Air Berlin Aviation GmbH on 22 November 2018.,TCN,Nautilus,Germany,H3,
"Raven Air, LLC d/b/a Island Hoppers Aerial Adventures",,,,,United States of America,H4,
Thomas Cook Airlines Balearics S.L.,,Established in October 2017.,CTB,Sunnyheart,Spain,H5,
Bulgarian Air Charter,,,BUC,Bulgarian Charter,Bulgaria,H6,
"Hageland Aviation Services, Inc",,Founed in 1981. Rebranded as Era Alaska in 2009.,HAG,Hageland,United States of America,H6,
Taron-Avia LLC,,Designator K7* recalled by IATA,TRV,Taronavia,Armenia,H7,
Sky Airline Peru S.A.C.,,,SKX,Sky Peru,Peru,H8,
Himalaya Airlines Pvt. Ltd.,769,Established on 20 Aug 2014. Formerly known as Yeti International Pvt. LtdJoint venture between HIF Aviation Company Pvt Ltd and Tibet Airlines Ltd.,HIM,Himalaya,Nepal,H9,769
Hawaiian Airlines,173,,HAL,Hawaiian,United States of America,HA,173
"Asia Atlantic Airlines Co., Ltd",943,Founded in December 2012. Commenced operations on 19 August 2013.,AAQ,Asia Atlantic,Thailand,HB,943
"Homer Air, Inc.",,,,,United States of America,HB,
Air Senegal S.A.,,,SZN,Sensa,Senegal,HC,490
"Air Do Co., Ltd.",,"Name changed from Hokkaido International Airlines Co., Ltd.",ADO,Air Do,Japan,HD,
LGW-Luftfahrtgesellschaft Walter GmbH,,,LGW,Walter,Germany,HE,
Air Cote d Ivoire,,Setup with strategic partner Air FranceFounded on 15 May 2012. Commenced operations on 12 November 2012.,VRE,Cote D'Ivoire,Cote D'Ivoire,HF,483
Hibernian Airlines Limited,,"Wholly-owned by ILAI (Inversiones Líneas Aéreas Internacionales), the parent of Air Nostrum.ACMI operator with CRJ-1000.",HBN,Finch,Ireland,HG,
Taban Airlines,,,TBN,Taban Air,Iran,HH,283
"Papillon Airways, Inc.",,,,,United States of America,HI,563
Tasman Cargo Airlines PTY Ltd,,ICAO designator changed from AXFName changed from Asian Express Airlines Pty Limited,TMN,Freightexpress,Australia,HJ,
Skippers Aviation Pty Ltd.,,Designator JW* recalled by IATA,,,Australia,HK,
Hotels/Motels,,Non-airline Org. in airline industry,XHL,,United States of America,HL,
Air Seychelles Limited,061,,SEY,Seychelles,Seychelles,HM,061
Babcock Mission Critical Services France,,Name changed from INAER Helicopter France. Previously name changed from Proteus Helicopters.,PTH,Proteus,France,HN,
Juneyao Airlines Co. Ltd.,018,,DKH,Air Juneyao,China,HO,018
Amapola Flyg AB,,IATA designator changed from 7P,APF,Amapola,Sweden,HP,
VLM Airlines N.V.,,Name changed from Thomas Cook Airline Belgium N.V.IATA designator changed from FQ,TCW,Phoenix,Belgium,HQ,583
Hahn Air Lines,169,IATA designator changed from HR*Change of name from Hahn Air Businessline,HHN,Rooster,Germany,HR,169
Heli Securite Helicopter Airline,,Designator H4 recalled by IATA.,HLI,Heli Saint-Tropez,France,HS,
"Tianjin Air Cargo Co., Ltd.",877,,CTJ,Tianjin Cargo,China,HT,
"Ningxia Cargo Airlines Co., Ltd.",669,,HTK,Lingbird,China,HT,
Hainan Airlines Holding Company Limited,880,Name changed from Hainan Airlines Company Limited.IATA designator changed from HX,CHH,Hainan,China,HU,880
Transavia,979,,TRA,Transavia,Netherlands,HV,979
North-Wright Airways Ltd.,,,NWL,Northwright,Canada,HW,
Hong Kong Airlines Limited,851,IATA designator changed from N8* wef 27/05/2007.Name changed from CR Airways Limited. Designator N8* reinstated by IATA,CRK,Bauhinia,Hong Kong,HX,851
Uzbekistan Havo Yullary - Uzbekistan Airways,250,,UZB,Uzbek,Uzbekistan,HY,250
"Joint- Stock Company ""Aurora Airlines""",598,ICAO callsign changed from Satair.,SHU,Aurora,Russian Federation,HZ,598
"Compania Operadora de Corto y Medio Radio Iberia Express, S.A.U",060,,IBS,Iberexpres,Spain,I2,060
